"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Tonkin, Michael","543859","R","SI","779","93.5","2304","16.4",0.7781202697677653,0.8975382359610177,123.80247549078906,128.0499994518026,"Sinker","90","105","105",-4.247523961013528,4.247523961013546,"0",1,45,1,45,0,0,"1:45","1:45"," 0H 00M"
,"Thompson, Mason","666168","R","SI","437","94.7","2253","19.3",0.9130660276641399,0.8628657870824975,138.90826386531268,111.18355464008235,"Sinker","86","75","135",27.724709225230328,27.72470922523034,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Pérez, Martín","527048","L","SI","935","91.6","1963","19.4",0.9686408081701682,0.9770069546370231,226.99462644646914,243.25043349882299,"Sinker","98","630","600",-16.255807052353845,16.255807052353827,"30",10,30,10,0,0,30,"10:30","10:00","+0H 30M"
,"Stroman, Marcus","573186","R","SI","936","91.4","2289","11.7",0.5407191017728715,0.596654486289816,146.8742421278675,98.45718237084962,"Sinker","60","60","165",48.41705975701787,48.41705975701785,"-105",1,0,2,45,1,45,"1:00","2:45","-1H 45M"
,"Hendricks, Kyle","543294","R","SI","736","87.5","2027","13.9",0.6754409938550974,0.764083165275932,152.68552026916203,113.40352322632354,"Sinker","76","60","135",39.28199704283848,39.28199704283846,"-75",1,0,2,15,1,15,"1:00","2:15","-1H 15M"
,"Berríos, José","621244","R","SI","914","93.8","2117","19.8",0.954686950666271,0.960759299565395,140.6764266615486,124.15787959534438,"Sinker","96","75","105",16.518547066204206,16.51854706620421,"-30",1,15,1,45,0,30,"1:15","1:45","-0H 30M"
,"Alvarado, José","621237","L","SI","433","98.7","2121","19.7",0.9757902954014497,0.9603322481760372,205.6047795085553,222.63443236329235,"Sinker","96","675","630",-17.029652854737037,17.02965285473703,"45",11,15,10,30,0,45,"11:15","10:30","+0H 45M"
,"Santos, Gregory","666619","R","SI","448","98.8","2385","14.1",0.6683125221713547,0.6261695360655872,145.15941574655466,116.4117861169297,"Sinker","63","75","120",28.747629629624953,28.747629629624953,"-45",1,15,2,0,0,45,"1:15","2:00","-0H 45M"
,"Valdez, Framber","664285","L","SI","1341","95.3","2187","18.9",0.9052783197517904,0.8382193882196909,213.74063502306296,241.9239149787445,"Sinker","84","660","600",-28.18327995568154,28.183279955681584,"60",11,0,10,0,1,0,"11:00","10:00","+1H 00M"
,"Peterson, David","656849","L","SI","473","91.5","2146","17",0.807388133146635,0.8004462222228512,214.07465462587928,250.22376451760488,"Sinker","80","645","585",-36.1491098917256,36.1491098917256,"60",10,45,9,45,1,0,"10:45","9:45","+1H 00M"
,"Schmidt, Clarke","657376","R","SI","628","93.4","2546","11.5",0.5149889170549228,0.5175143255558402,147.45379456903325,122.81654558045452,"Sinker","52","60","120",24.637248988578733,24.63724898857874,"-60",1,0,2,0,1,0,"1:00","2:00","-1H 00M"
,"Peralta, Wandy","593974","L","SI","324","95.9","2211","19.7",0.9473889390110443,0.9493184558769692,225.6807208398538,244.33732135392933,"Sinker","95","630","585",-18.656600514075535,18.65660051407552,"45",10,30,9,45,0,45,"10:30","9:45","+0H 45M"
,"Martinez, Nick","607259","R","SI","387","92.9","2367","20.6",0.9386963163267198,0.9075390415088892,156.45486743842878,133.14203398916757,"Sinker","91","765","90",23.312833449261205,23.31283344926119,"-45",12,45,1,30,0,45,"12:45","1:30","-0H 45M"
,"Mikolas, Miles","571945","R","SI","761","92.7","2193","18.1",0.8661353401298028,0.8355319842688554,150.04071328062048,124.94339653195456,"Sinker","84","60","105",25.097316748665918,25.09731674866592,"-45",1,0,1,45,0,45,"1:00","1:45","-0H 45M"
,"Castro, Miguel","612434","R","SI","424","96.8","2153","18.8",0.9513162717349043,0.9728093228739133,112.76215540390136,100.44392656373105,"Sinker","97","135","165",12.318228840170306,12.318228840170311,"-30",2,15,2,45,0,30,"2:15","2:45","-0H 30M"
,"Kelly, Merrill","518876","R","SI","330","92.4","2206","17.2",0.8409790941902519,0.793590104739791,137.21614185888984,108.27048104623236,"Sinker","79","90","150",28.94566081265748,28.94566081265748,"-60",1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Ortiz, Luis L.","682847","R","SI","410","95.8","2212","17.6",0.8570753456773013,0.8773717963856305,134.92806111595104,108.10823256444571,"Sinker","88","90","150",26.819828551505324,26.81982855150532,"-60",1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Castillo, Luis","622491","R","SI","550","95.8","2098","19.7",0.9579180845843214,0.9172867451449648,123.84800994215098,100.77745630574002,"Sinker","92","105","165",23.070553636410963,23.070553636410963,"-60",1,45,2,45,1,0,"1:45","2:45","-1H 00M"
,"Freeland, Kyle","607536","L","SI","665","88.7","2303","15.2",0.7754959018735781,0.7604221693745385,220.4811572142545,247.50513773258666,"Sinker","76","645","585",-27.023980518332166,27.023980518332134,"60",10,45,9,45,1,0,"10:45","9:45","+1H 00M"
,"Teheran, Julio","527054","R","SI","393","90","2156","16.8",0.8078128555677306,0.7110209818520374,127.55527810669388,91.96258373488845,"Sinker","71","105","180",35.59269437180542,35.59269437180543,"-75",1,45,3,0,1,15,"1:45","3:00","-1H 15M"
,"Quintana, Jose","500779","L","SI","344","90.4","2088","18.6",0.9016054778910167,0.8377471361017783,201.88588026151953,228.0059062483306,"Sinker","84","675","630",-26.120025986811072,26.12002598681109,"45",11,15,10,30,0,45,"11:15","10:30","+0H 45M"
,"Cordero, Jimmy","622772","R","SI","355","97.3","2168","19.9",0.9570563725048311,0.896261762939002,147.81943645557521,124.43168015056492,"Sinker","90","60","105",23.3877563050103,23.387756305010285,"-45",1,0,1,45,0,45,"1:00","1:45","-0H 45M"
,"Woodford, Jake","663765","R","SI","417","91.9","2039","14.9",0.7309838473132451,0.8166165962702135,143.39521326035063,109.47085220050529,"Sinker","82","75","135",33.92436105984534,33.92436105984533,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Peguero, Elvis","665625","R","SI","445","96","1856","17.4",0.9252389129888862,0.928508485661926,114.59527197197932,92.170402512074,"Sinker","93","135","180",22.42486945990531,22.424869459905313,"-45",2,15,3,0,0,45,"2:15","3:00","-0H 45M"
,"Hudson, Dakota","641712","R","SI","499","91.6","2071","14.5",0.7137215775509018,0.8124947263603348,143.6483668357149,115.10917270650081,"Sinker","81","75","135",28.539194129214096,28.539194129214106,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Bassitt, Chris","605135","R","SI","1163","91.9","2097","18.4",0.8897011600368858,0.8378995963978179,142.83840563526198,114.58313059701858,"Sinker","84","75","135",28.255275038243397,28.255275038243372,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
,"Quantrill, Cal","615698","R","SI","701","93.7","2151","19.7",0.9349022998630142,0.9837270695505289,142.80711905663185,138.3561942870099,"Sinker","98","75","90",4.450924769621935,4.45092476962194,"-15",1,15,1,30,0,15,"1:15","1:30","-0H 15M"
,"Chafin, Andrew","605177","L","SI","398","92.2","2148","19.5",0.9514746885500374,0.9462326874694779,217.83217984815983,235.38581719075842,"Sinker","95","645","615",-17.55363734259859,17.5536373425986,"30",10,45,10,15,0,30,"10:45","10:15","+0H 30M"
,"Houser, Adrian","605288","R","SI","866","92.1","2059","18.5",0.9175398552094437,0.895825592476919,133.60207292555307,108.20314811273757,"Sinker","90","90","150",25.39892481281551,25.398924812815515,"-60",1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Ottavino, Adam","493603","R","SI","357","92.5","2254","18.1",0.8397868200060898,0.7970181337494818,136.1640848304383,102.38280835424963,"Sinker","80","90","150",33.781276476188665,33.78127647618866,"-60",1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Wheeler, Zack","554430","R","SI","541","95.2","2314","18",0.8457653265438138,0.8008850491463836,143.56194234289944,114.01049871923001,"Sinker","80","75","135",29.551443623669428,29.55144362366942,"-60",1,15,2,15,1,0,"1:15","2:15","-1H 00M"
